Date,Open,High,Low,Close,Volume,Adj Close
2013-12-30,185.32,187.79,184.67,187.57,3319100,187.57
2013-12-23,181.05,186.50,180.61,185.08,3100200,185.08
2013-12-16,173.22,182.00,172.73,180.02,6453400,180.02
2013-12-09,177.99,178.15,172.73,172.80,4366400,172.80
2013-12-02,179.46,179.59,175.16,177.67,4963200,177.67
2013-11-25,180.25,180.76,177.31,179.68,5096200,179.68
2013-11-18,183.52,186.24,179.92,181.30,5127400,181.30
2013-11-11,180.19,184.05,179.66,183.19,5136500,183.19
2013-11-04,179.90,181.39,177.35,179.99,5127000,179.99
2013-10-28,177.04,182.32,176.20,179.23,5170700,178.27
2013-10-21,174.42,179.10,172.63,176.85,5972300,175.91
2013-10-14,185.41,186.99,172.57,173.78,9132600,172.85
2013-10-07,181.85,186.23,178.71,186.16,4171900,185.17
2013-09-30,185.56,186.74,183.00,184.10,3270300,183.12
2013-09-23,190.06,192.41,186.45,186.92,3015900,185.92
2013-09-16,193.70,194.89,190.02,190.02,4475800,189.00
2013-09-09,183.68,193.10,183.31,192.17,3638900,191.14
2013-09-03,183.63,185.00,182.31,183.03,2964000,182.05
2013-08-26,185.27,187.00,181.10,182.27,3010400,181.30
2013-08-19,185.30,186.57,183.17,185.42,2912900,184.43
2013-08-12,186.97,189.99,185.34,185.34,3316100,184.35
2013-08-05,195.16,195.88,186.79,187.82,4025600,186.82
2013-07-29,196.83,197.83,193.22,195.16,3067700,193.15
2013-07-22,193.40,197.83,193.28,197.35,2943800,195.32
2013-07-15,192.42,200.94,191.68,193.54,6335800,191.55
2013-07-08,195.60,195.78,190.78,192.07,4143100,190.09
2013-07-01,192.15,195.16,190.26,194.93,3094500,192.92
2013-06-24,193.99,196.90,188.41,191.11,5018500,189.14
2013-06-17,203.44,206.09,193.54,195.46,4554600,193.45
2013-06-10,206.97,206.98,200.34,202.20,2916100,200.12
2013-06-03,208.25,210.05,201.47,206.35,3553700,204.23
2013-05-28,207.44,211.98,206.04,208.02,4199900,205.88
2013-05-20,208.02,210.15,204.42,205.72,4051800,203.60
2013-05-13,204.18,209.50,202.04,208.44,4317400,206.30
2013-05-06,203.79,205.00,201.52,204.47,3740100,202.37
2013-04-29,194.78,205.32,194.65,204.51,5361800,201.46
2013-04-22,191.15,195.17,187.68,194.31,5595300,191.41
2013-04-15,210.44,212.00,189.76,190.00,7139200,187.17
2013-04-08,209.07,213.09,207.33,211.38,3054700,208.23
2013-04-01,212.80,214.89,206.34,209.41,3249500,206.29
2013-03-25,212.54,213.44,209.74,213.30,3129000,210.12
2013-03-18,212.90,215.82,210.11,212.08,3617100,208.92
2013-03-11,210.04,215.90,209.04,214.92,4686600,211.72
2013-03-04,202.59,210.74,202.55,210.38,3736100,207.24
2013-02-25,201.67,203.12,197.51,202.91,3883800,199.89
2013-02-19,200.60,201.89,198.11,201.09,3436100,198.09
2013-02-11,200.98,201.95,199.02,200.98,2899600,197.98
2013-02-04,204.19,205.02,198.68,201.68,3283900,198.67
2013-01-28,204.85,206.22,202.96,205.18,3180200,201.27
2013-01-22,194.36,208.58,194.01,204.97,6877200,201.07
2013-01-14,192.82,195.00,190.39,194.47,3949600,190.77
2013-01-07,193.40,195.00,191.28,194.45,3317900,190.75
2012-12-31,189.23,196.35,188.84,193.99,3985900,190.30
2012-12-24,193.05,193.83,189.83,189.83,2977900,186.22
2012-12-17,191.76,196.45,191.57,193.42,4919700,189.74
2012-12-10,192.17,194.80,191.26,191.76,3854900,188.11
2012-12-03,190.76,192.20,186.94,191.95,3770000,188.30
2012-11-26,192.45,193.37,189.27,190.07,4223800,186.45
2012-11-19,188.62,193.49,188.25,193.49,3956500,189.81
2012-11-12,190.03,190.88,184.78,186.94,3790200,183.38
2012-11-05,192.36,196.75,188.88,189.64,3595400,186.03
2012-10-31,194.80,198.00,193.29,193.43,4690400,188.92
2012-10-22,193.71,194.68,190.56,193.27,3964800,188.76
2012-10-15,208.88,211.00,193.18,193.36,7456600,188.85
2012-10-08,210.02,210.74,205.05,207.80,3041900,202.96
2012-10-01,208.01,211.79,207.94,210.59,3557200,205.68
2012-09-24,205.02,208.32,203.90,207.45,3592400,202.61
2012-09-17,205.55,207.99,205.30,205.98,4973400,201.18
2012-09-10,199.39,207.65,198.73,206.81,3867800,201.99
2012-09-04,196.61,199.50,193.25,199.50,3793000,194.85
2012-08-27,197.96,198.30,193.18,194.85,2622700,190.31
2012-08-20,200.69,201.13,194.20,197.77,2828000,193.16
2012-08-13,198.88,202.00,197.72,201.22,2474700,196.53
2012-08-06,198.76,200.88,197.24,199.29,2475200,194.64
2012-07-30,196.32,198.95,193.02,198.52,2988800,193.07
2012-07-23,189.78,197.41,188.20,196.39,3759100,191.00
2012-07-16,185.58,196.85,183.20,192.45,6301500,187.16
2012-07-09,190.76,191.14,181.85,186.01,4599700,180.90
2012-07-02,196.36,197.20,189.74,191.41,2980100,186.15
2012-06-25,192.48,195.81,188.90,195.58,3727400,190.21
2012-06-18,197.57,199.99,193.19,193.70,4638800,188.38
2012-06-11,196.60,199.27,192.14,199.10,4076800,193.63
2012-06-04,188.34,195.83,187.00,195.14,3600500,189.78
2012-05-29,195.22,198.08,188.60,189.08,5428700,183.89
2012-05-21,195.98,198.26,193.20,194.30,3594000,188.96
2012-05-14,199.92,201.47,195.16,195.88,4476200,190.50
2012-05-07,203.96,204.77,199.06,201.17,3443800,195.65
2012-04-30,206.71,208.93,204.40,204.99,2939900,198.53
2012-04-23,197.89,208.17,196.79,206.81,4009600,200.29
2012-04-16,204.74,207.64,197.52,199.60,6113300,193.31
2012-04-09,204.40,206.17,202.17,202.80,3504500,196.41
2012-04-02,208.96,210.69,204.46,205.47,3923100,198.99
2012-03-26,206.45,209.12,206.02,208.65,3201400,202.07
2012-03-19,205.71,206.53,203.70,205.48,3426400,199.00
2012-03-12,200.93,207.52,200.23,206.01,5169200,199.52
2012-03-05,198.36,201.19,196.81,200.62,4364700,194.30
2012-02-27,196.78,199.17,196.10,198.81,3866100,192.54
2012-02-21,193.73,199.23,192.46,197.76,4488800,191.53
2012-02-13,193.31,193.86,190.83,193.42,3429900,187.32
2012-02-06,192.48,194.46,191.28,192.42,3628800,186.36
2012-01-30,189.39,194.81,188.22,193.64,4540700,186.81
2012-01-23,187.91,192.79,187.67,190.46,4564400,183.74
2012-01-17,180.36,188.97,179.32,188.52,8005200,181.87
2012-01-09,182.20,183.72,177.35,179.16,5326600,172.84
2012-01-03,186.73,188.71,182.31,182.54,4838200,176.10
2011-12-27,184.97,186.48,183.34,183.88,3029900,177.39
2011-12-19,184.51,187.33,179.04,184.75,5433300,178.23
2011-12-12,193.64,194.30,181.91,183.57,6037200,177.09
2011-12-05,191.18,194.90,190.32,194.56,4828500,187.70
2011-11-28,182.71,191.33,180.67,189.66,5168700,182.97
2011-11-21,183.37,183.96,177.06,177.06,4089300,170.81
2011-11-14,189.17,189.97,183.39,185.24,5104400,178.71
2011-11-07,186.22,187.88,181.16,187.38,4180600,180.77
2011-10-31,185.59,187.78,180.74,186.38,4583700,179.09
2011-10-24,181.51,188.07,179.03,187.45,5743800,180.11
2011-10-17,189.71,190.16,176.17,181.63,9359200,174.52
2011-10-10,183.00,190.53,182.90,190.53,5244100,183.07
2011-10-03,174.36,183.72,168.88,182.39,7623500,175.25
2011-09-26,170.96,180.91,169.86,174.87,7373600,168.03
2011-09-19,169.50,177.67,165.76,169.34,6358100,162.71
2011-09-12,160.04,172.99,158.76,172.99,6692800,166.22
2011-09-06,163.06,169.58,160.81,161.37,6332200,155.05
2011-08-29,170.58,173.72,166.00,166.98,5257600,160.44
2011-08-22,161.35,169.33,157.62,169.14,6757800,162.52
2011-08-15,171.32,174.00,157.13,157.54,9502300,151.37
2011-08-08,168.83,172.61,161.85,168.20,11335700,161.62
2011-08-01,182.60,183.69,166.52,172.98,8245800,165.49
2011-07-25,183.89,184.96,179.73,181.85,5258800,173.98
2011-07-18,174.73,185.63,173.58,185.18,7500100,177.16
2011-07-11,174.90,176.32,173.84,175.54,4767600,167.94
2011-07-05,173.52,177.77,173.52,176.49,5194400,168.85
2011-06-27,165.74,174.65,165.21,174.54,4680100,166.98
2011-06-20,163.70,166.81,163.59,165.07,4595600,157.92
2011-06-13,163.17,165.10,161.52,164.44,5877200,157.32
2011-06-06,164.76,165.96,162.87,163.18,4128100,156.11
2011-05-31,168.44,169.89,164.13,165.05,5835600,157.90
2011-05-23,168.58,168.69,165.90,167.50,4543700,160.25
2011-05-16,169.81,171.41,166.53,170.16,5199500,162.79
2011-05-09,168.39,172.77,167.82,169.92,4699700,162.56
2011-05-02,172.11,173.54,167.50,168.89,5893100,161.58
2011-04-25,167.65,173.00,167.23,170.58,5371700,162.47
2011-04-18,164.64,168.45,162.19,168.28,7439500,160.28
2011-04-11,163.44,166.34,162.30,166.21,4433600,158.30
2011-04-04,164.42,164.75,163.16,164.05,3520500,156.25
2011-03-28,161.54,164.42,161.12,164.27,3813200,156.46
2011-03-21,157.64,162.74,157.07,162.18,5074300,154.47
2011-03-14,161.16,161.98,151.71,155.89,8359600,148.48
2011-03-07,161.60,167.72,158.85,162.43,6219100,154.70
2011-02-28,162.36,164.31,159.41,161.83,4307400,154.13
2011-02-22,163.57,164.26,159.03,162.28,5358300,154.56
2011-02-14,164.18,164.84,162.52,164.84,3718000,157.00
2011-02-07,164.08,166.25,163.18,163.85,5219400,156.06
2011-01-31,159.18,164.20,158.68,164.00,5074200,155.58
2011-01-24,155.42,164.35,155.33,159.21,6500500,151.04
2011-01-18,149.82,156.78,149.38,155.50,8941700,147.52
2011-01-10,147.58,150.00,146.75,150.00,3975700,142.30
2011-01-03,147.21,148.86,146.64,147.93,4697200,140.34
2010-12-27,145.12,147.50,145.00,146.76,2936800,139.23
2010-12-20,145.39,146.40,144.33,145.89,3396300,138.40
2010-12-13,145.14,146.01,144.15,145.00,5638900,137.56
2010-12-06,144.54,146.30,143.52,144.82,4204100,137.39
2010-11-29,143.53,145.85,141.28,145.38,5724500,137.92
2010-11-22,144.00,146.44,142.33,143.90,3814100,136.51
2010-11-15,143.89,145.35,141.18,145.05,4841500,137.61
2010-11-08,145.35,147.53,143.35,143.74,4963200,136.36
2010-11-01,143.64,146.93,142.32,146.92,5420200,138.76
2010-10-25,140.42,144.00,138.53,143.60,6516600,135.63
2010-10-18,140.90,143.03,136.70,139.67,8350700,131.92
2010-10-11,138.79,142.10,138.27,141.06,6259800,133.23
2010-10-04,135.23,139.09,134.39,138.85,5205400,131.14
2010-09-27,133.51,136.28,133.51,135.64,6166900,128.11
2010-09-20,130.24,134.15,130.11,134.11,5671400,126.66
2010-09-13,128.63,130.60,128.43,130.19,5993300,122.96
2010-09-07,126.99,128.29,125.39,127.99,4171500,120.88
2010-08-30,125.08,127.60,122.28,127.58,5019500,120.50
2010-08-23,127.57,128.03,122.42,124.73,5770300,117.81
2010-08-16,127.47,130.20,126.96,127.50,4967800,120.42
2010-08-09,130.79,132.49,127.33,127.87,5544200,120.77
2010-08-02,129.25,131.98,128.76,130.14,5350700,122.91
2010-07-26,128.18,129.50,127.04,128.40,5817400,120.67
2010-07-19,128.67,130.38,122.93,128.38,9065700,120.65
2010-07-12,127.37,131.60,127.16,128.03,6138300,120.33
2010-07-06,123.58,128.20,122.17,127.96,5694000,120.26
2010-06-28,127.65,129.47,120.61,121.86,7985100,114.53
2010-06-21,131.42,131.94,127.12,127.12,7145900,119.47
2010-06-14,128.50,131.25,128.34,130.15,6991700,122.32
2010-06-07,125.57,128.80,122.82,128.45,7289200,120.72
2010-06-01,124.69,128.22,124.20,125.28,7788800,117.74
2010-05-24,125.26,126.39,121.47,125.26,8118800,117.72
2010-05-17,130.68,131.99,121.40,125.42,10547700,117.87
2010-05-10,126.27,133.10,125.06,131.19,10401500,123.30
2010-05-03,129.39,130.14,116.00,122.10,8620700,114.75
2010-04-26,129.76,132.00,128.71,129.00,7075600,120.62
2010-04-19,130.38,132.28,127.77,129.99,9269000,121.54
2010-04-12,128.57,132.17,127.84,130.63,7065700,122.14
2010-04-05,128.38,129.80,127.12,128.76,4878800,120.39
2010-03-29,129.30,129.95,127.55,128.25,4488700,119.92
