Day,Month,Calls,Bid,Ask,Puts,Bid,Ask
14,Mar,10,5.2,5.4,10,0,0.05
14,Mar,11,4.2,4.4,11,0,0.05
14,Mar,12,3.2,3.4,12,0,0.05
14,Mar,13,2.3,2.45,13,0.05,0.1
14,Mar,14,1.65,1.7,14,0.35,0.4
14,Mar,15,1.2,1.25,15,0.9,0.95
14,Mar,16,0.9,0.95,16,1.6,1.7
14,Mar,17,0.7,0.75,17,2.4,2.5
14,Mar,18,0.55,0.6,18,3.2,3.4
14,Mar,19,0.45,0.5,19,4.1,4.3
14,Mar,20,0.35,0.4,20,5,5.2
14,Mar,21,0.3,0.35,21,5.9,6.1
14,Mar,22,0.25,0.3,22,6.9,7.1
14,Mar,23,0.2,0.25,23,7.9,8
14,Mar,24,0.15,0.25,24,8.8,9
14,Mar,25,0.15,0.2,25,9.8,10
14,Mar,26,0.1,0.2,26,10.8,10.9
14,Mar,27,0.1,0.15,27,11.7,11.9
14,Mar,28,0.1,0.15,28,12.7,12.9
14,Mar,29,0.05,0.1,29,13.6,13.9
14,Mar,30,0.05,0.1,30,14.6,14.9
14,Mar,32.5,0,0.05,32.5,17.1,17.4
14,Mar,35,0,0.05,35,19.6,19.9
14,Mar,37.5,0,0.05,37.5,22.1,22.3
14,Mar,40,0,0.05,40,24.6,24.8
14,Mar,42.5,0,0.05,42.5,27.1,27.3
14,Mar,45,0,0.05,45,29.6,29.8
14,Mar,47.5,0,0.05,47.5,32.1,32.3
14,Mar,50,0,0.05,50,34.6,34.8
14,Mar,55,0,0.05,55,39.5,39.8
14,Mar,60,0,0.05,60,44.5,44.8
14,Mar,65,0,0.05,65,49.5,49.8
14,Mar,70,0,0.05,70,54.5,54.8
14,Apr,10,5.6,5.8,10,0,0.05
14,Apr,11,4.6,4.8,11,0,0.05
14,Apr,12,3.7,3.8,12,0,0.05
14,Apr,13,2.85,2.95,13,0.15,0.2
14,Apr,14,2.2,2.3,14,0.5,0.6
14,Apr,15,1.8,1.85,15,1.05,1.15
14,Apr,16,1.5,1.55,16,1.75,1.85
14,Apr,17,1.25,1.3,17,2.5,2.6
14,Apr,18,1.05,1.15,18,3.3,3.5
14,Apr,19,0.95,1,19,4.2,4.3
14,Apr,20,0.8,0.9,20,5.1,5.2
14,Apr,21,0.7,0.8,21,5.9,6.1
14,Apr,22,0.65,0.7,22,6.9,7
14,Apr,23,0.55,0.65,23,7.8,7.9
14,Apr,24,0.5,0.55,24,8.7,8.9
14,Apr,25,0.45,0.5,25,9.7,9.8
14,Apr,26,0.4,0.45,26,10.6,10.8
14,Apr,27,0.35,0.4,27,11.6,11.7
14,Apr,28,0.3,0.4,28,12.5,12.7
14,Apr,29,0.3,0.35,29,13.5,13.7
14,Apr,30,0.25,0.3,30,14.5,14.6
14,Apr,32.5,0.2,0.25,32.5,16.9,17.1
14,Apr,35,0.15,0.2,35,19.4,19.5
14,Apr,37.5,0.1,0.15,37.5,21.8,22
14,Apr,40,0.1,0.15,40,24.3,24.5
14,Apr,42.5,0.05,0.1,42.5,26.7,27
14,Apr,45,0.05,0.1,45,29.2,29.5
14,Apr,47.5,0.05,0.1,47.5,31.7,32
14,Apr,50,0,0.1,50,34.2,34.4
14,Apr,55,0,0.05,55,39.2,39.4
14,Apr,60,0,0.05,60,44.1,44.4
14,Apr,65,0,0.05,65,49.1,49.4
14,Apr,70,0,0.05,70,54.1,54.4
14,May,10,6.3,6.5,10,0,0.05
14,May,11,5.3,5.5,11,0,0.05
14,May,12,4.3,4.5,12,0,0.1
14,May,13,3.5,3.7,13,0.2,0.25
14,May,14,2.9,3.1,14,0.55,0.6
14,May,15,2.45,2.55,15,1.1,1.15
14,May,16,2.1,2.2,16,1.7,1.8
14,May,17,1.8,1.9,17,2.45,2.5
14,May,18,1.6,1.65,18,3.2,3.3
14,May,19,1.4,1.45,19,4,4.1
14,May,20,1.25,1.3,20,4.8,5
